wavelength,TL5 W m-2
300,0.00000241
301,0.00015553
302,0.00037474
303,0.0002227
304,0.00019132
305,0.00045644
306,0.00014066
307,0.00014347
308,0.00031327
309,0.00027467
310,0.00026161
311,0.00036456
312,0.00028262
313,0.00022023
314,0.00013419
315,0.00026182
316,0.00014513
317,0.00011522
318,0.00009421
319,0.00035276
320,0.00016219
321,0.00029645
322,0.00026953
323,0.0002279
324,0.00018898
325,0.00006768
326,0.00033263
327,0.0002215
328,0.00014796
329,0.00033255
330,0.00023221
331,0.0002138
332,0.00003335
333,0.00006833
334,0.00004443
335,0.00023188
336,0.00028099
337,0.00035177
338,0.00024843
339,0.00035664
340,0.00009772
341,0.00022208
342,0.00035786
343,0.0003782
344,0.00024112
345,0.00035337
346,0.0001859
347,0.00004747
348,0.00032951
349,0.00006446
350,0.00018488
351,0.00019532
352,0.00018751
353,0.00003695
354,0.00047884
355,0.00020041
356,0.00030185
357,0.0002526
358,0.00005015
359,0.00037142
360,0.00026055
361,0.000108
362,0.00033738
363,0.00019959
364,0.00018767
365,0.00010166
366,0.00017292
367,0.00023661
368,0.00019937
369,0.00022861
370,0.00003027
371,0.00024843
372,0.00008003
373,0.00026729
374,0.00018637
375,0.00016595
376,0.00051477
377,0.0001206
378,0.0003626
379,0.00038587
380,0.00021108
381,0.0003577
382,0.00021031
383,0.00029027
384,0.00032166
385,0.00032188
386,0.00048281
387,0.00016645
388,0.00018901
389,0.00059404
390,0.00021865
391,0.00034703
392,0.00032797
393,0.00029773
394,0.00034852
395,0.00046509
396,0.00027806
397,0.00008448
398,0.00033042
399,0.0004319
400,0.000601
401,0.00082501
402,0.00376271
403,0.0138915
404,0.00070119
405,0.00088234
406,0.00223734
407,0.00085972
408,0.00119358
409,0.00103895
410,0.00141773
411,0.00124305
412,0.00149842
413,0.00184365
414,0.00164968
415,0.00172437
416,0.00203154
417,0.00202589
418,0.00238407
419,0.00234092
420,0.00254925
421,0.00290913
422,0.00307897
423,0.0034055
424,0.00363627
425,0.00351319
426,0.00384111
427,0.00414981
428,0.00422868
429,0.00476906
430,0.00515099
431,0.00569094
432,0.00657482
433,0.01864299
434,0.08073861
435,0.00767985
436,0.00612888
437,0.00654019
438,0.00664067
439,0.00670761
440,0.00666433
441,0.00666798
442,0.00701767
443,0.00721431
444,0.00713374
445,0.00686727
446,0.00696878
447,0.00688763
448,0.00711978
449,0.00711785
450,0.00748072
451,0.00732697
452,0.00714013
453,0.00699596
454,0.00722686
455,0.00719542
456,0.00737336
457,0.00709066
458,0.00752583
459,0.00728312
460,0.00743311
461,0.00725818
462,0.00727254
463,0.00747834
464,0.007644
465,0.00764236
466,0.00751238
467,0.00738087
468,0.0073941
469,0.00784174
470,0.0078334
471,0.00767334
472,0.00765452
473,0.00747472
474,0.00753748
475,0.00790396
476,0.00778636
477,0.00776528
478,0.00846042
479,0.00896988
480,0.01005169
481,0.01248889
482,0.0154631
483,0.02004571
484,0.02409522
485,0.0257103
486,0.02536021
487,0.02464172
488,0.02391769
489,0.02242349
490,0.02082435
491,0.01916281
492,0.01814042
493,0.01644211
494,0.0152517
495,0.01478017
496,0.01403703
497,0.0114219
498,0.00984306
499,0.00851604
500,0.00773932
501,0.00733219
502,0.00711373
503,0.00686682
504,0.00693162
505,0.00661483
506,0.00684161
507,0.00677376
508,0.00676968
509,0.00721165
510,0.00716738
511,0.00705928
512,0.00717162
513,0.00685608
514,0.00664689
515,0.00669144
516,0.00635549
517,0.00622432
518,0.00578649
519,0.00591425
520,0.00556101
521,0.00532264
522,0.0049076
523,0.00487073
524,0.00482279
525,0.00434238
526,0.00437495
527,0.00434905
528,0.0043927
529,0.00448689
530,0.0047853
531,0.00575398
532,0.00563677
533,0.00591582
534,0.00684025
535,0.00954075
536,0.0151929
537,0.02173904
538,0.03280723
539,0.05491751
540,0.10759281
541,0.11876616
542,0.11558684
543,0.10445356
544,0.14694131
545,0.04811542
546,0.03464083
547,0.03783192
548,0.03051867
549,0.02550846
550,0.02460186
551,0.01981142
552,0.01227246
553,0.0075121
554,0.00588492
555,0.00484732
556,0.00443821
557,0.00385485
558,0.00351042
559,0.00319143
560,0.0031363
561,0.00283167
562,0.00237371
563,0.0023658
564,0.00223203
565,0.00235584
566,0.00239582
567,0.00235788
568,0.00230496
569,0.00230553
570,0.00264996
571,0.0030922
572,0.00356057
573,0.00402113
574,0.00701264
575,0.02083459
576,0.00784952
577,0.02379342
578,0.01754117
579,0.01364072
580,0.01573533
581,0.02320395
582,0.02500572
583,0.01962631
584,0.01820612
585,0.02773392
586,0.02359254
587,0.01685004
588,0.01526799
589,0.01281919
590,0.01267904
591,0.01508265
592,0.00855093
593,0.00600438
594,0.00574171
595,0.00533893
596,0.00640332
597,0.00852018
598,0.00757084
599,0.00540168
600,0.00435301
601,0.00366313
602,0.00406297
603,0.00442255
604,0.00511221
605,0.00623631
606,0.00924542
607,0.01511895
608,0.03657592
609,0.11612401
610,0.06309663
611,0.03567176
612,0.02942058
613,0.02373247
614,0.01578068
615,0.01415938
616,0.01322446
617,0.01549256
618,0.01838433
619,0.01748689
620,0.0148911
621,0.01243269
622,0.01168339
623,0.01002336
624,0.00804344
625,0.00735353
626,0.00723534
627,0.00749206
628,0.01075316
629,0.01514258
630,0.00618565
631,0.00329472
632,0.00233085
633,0.00239169
634,0.00195685
635,0.00191665
636,0.00172482
637,0.00167772
638,0.00173395
639,0.00193118
640,0.00178277
641,0.00196364
642,0.00177429
643,0.00220133
644,0.00218354
645,0.00203674
646,0.00219053
647,0.00282105
648,0.0044377
649,0.00343805
650,0.00270509
651,0.00273691
652,0.00213359
653,0.0016274
654,0.00121957
655,0.00135766
656,0.0014827
657,0.00116548
658,0.00106835
659,0.00134262
660,0.00318108
661,0.0026858
662,0.00174455
663,0.00147306
664,0.00178368
665,0.00205959
666,0.00199253
667,0.0018599
668,0.00153117
669,0.00164606
670,0.00146177
671,0.0014985
672,0.00136857
673,0.00110985
674,0.00143531
675,0.00138531
676,0.00154203
677,0.00175171
678,0.00162988
679,0.0014985
680,0.00150008
681,0.00111632
682,0.00110832
683,0.00089563
684,0.00101018
685,0.00228015
686,0.00202928
687,0.0008976
688,0.00098547
689,0.00078974
690,0.00073988
691,0.00188254
692,0.00117853
693,0.00058624
694,0.00067508
695,0.00088262
696,0.00057612
697,0.0003889
698,0.00046276
699,0.00055707
700,0.00065597
701,0.00067388
702,0.00129654
703,0.00161841
704,0.00319352
705,0.00456848
706,0.00302023
707,0.00579039
708,0.00147441
709,0.00186051
710,0.00480961
711,0.00185126
712,0.00062704
713,0.00066331
714,0.00032283
715,0.00039402
716,0.00037226
717,0.00041278
718,0.00036857
719,0.00040713
720,0.0001038
721,0.00022061
722,0.00003273
723,0.00023961
724,0.00027818
725,0.00051426
726,0.00026828
727,0.00038784
728,0.00037542
729,0.00025249
730,0.00030859
731,0.00042948
732,0.00018594
733,0.00027607
734,0.00026766
735,0.00024016
736,0.00033516
737,0.00038226
738,0.00038371
739,0.00034663
740,0.00030723
741,0.00051263
742,0.00031146
743,0.00024982
744,0.00028533
745,0.00019357
746,0.00022197
747,0.00011911
748,0.00013141
749,0.00043641
750,0.0002084
751,0.00036015
752,0.00027107
753,0.00014626
754,0.00007204
755,0.00007877
756,0.00009955
757,0.00043765
758,0.00034616
759,0.00048097
760,0.00004586
761,0.00051778
762,0.00042568
763,0.00023667
764,0.00038044
765,0.00028777
766,0.00032975
767,0.00031858
768,0.00013448
769,0.00023314
770,0.00024228
771,0.00027665
772,0.0003565
773,0.00026204
774,0.00028724
775,0.00043704
776,0.00026019
777,0.00038443
778,0.00018901
779,0.00023961
780,0.00044012
781,0.00020768
782,0.00021657
783,0.00019432
784,0.0001459
785,0.00020595
786,0.00025872
787,0.00024843
788,0.00015668
789,0.00007753
790,0.00021123
791,0.00058347
792,0.00030741
793,0.00024232
794,0.00023286
795,0.00038861
796,0.00024328
797,0.0002264
798,0.00031875
799,0.00004857
800,0.00011963
801,0.00022397
802,0.00014804
803,0.00030796
804,0.00026257
805,0.00015802
806,0.00032362
807,0.00023609
808,0.00011847
809,0.00008255
810,0.00020409
811,0.00019375
812,0.00027625
813,0.00009028
814,0.00011152
815,0.00012427
816,0.0003441
817,0.0000804
818,0.00032293
819,0.00011152
820,0.00004161
821,0.00030288
822,0.00018806
823,0.000089
824,0.00015499
825,0.0002298
826,0.00026019
827,0.00011438
828,0.000081
829,0.00035215
830,0.00019075
831,0.00003505
832,0.00017492
833,0.000296
834,0.0002179
835,0.00012315
836,0.00012302
837,0.00013082
838,0.00023314
839,0.00005358
840,0.00015784
841,0.00023696
842,0.00020433
843,0.00009808
844,0.00025913
845,0.00004355
846,0.00005807
847,0.00014831
848,0.00008502
849,0.00036039
850,0.00022797
851,0.00018252
852,0.00031817
853,0.00008564
854,0.00033187
855,0.00032152
856,0.00021621
857,0.00036456
858,0.00008989
859,0.0003117
860,0.00018709
861,0.00040425
862,0.00018671
863,0.00033134
864,0.00011369
865,0.00043953
866,0.0002461
867,0.00018037
868,0.00023485
869,0.00017002
870,0.0003065
871,0.00032287
872,0.00023961
873,0.0001678
874,0.00021339
875,0.00023314
876,0.00013758
877,0.00026395
878,0.00023204
879,0.00030229
880,0.00031864
881,0.0003212
882,0.0001854
883,0.0000671
884,0.00035309
885,0.0002549
886,0.00015017
887,0.00028304
888,0.00023796
889,0.00021558
890,0.00048951
891,0.00021021
892,0.00024342
893,0.00029641
894,0.00031364
895,0.00052773
896,0.00019456
897,0.00047469
898,0.00026907
899,0.00013327
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,0
2367,0
2368,0
2369,0
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,0
2390,0
2391,0
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
